Title,Address,"1st Description","1st Hours","2nd Description","2nd Hours","3rd Descript","3rd Hours",Lat,Long,"Twenty Four Hours",Notes,Checkins
,"5155 Silverton Rd. NE, Salem, OR 97305",Lobby,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.974011,-122.956566,,,
,"4760 Portland Rd. NE, Salem, OR 97305",,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.991648,-122.985432,,,
,"930 Chemawa Rd. NE, Keizer, OR 97303-3716",Lobby,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,44.99574,-123.019758,,,
,"5110 River Rd. N, Keizer, OR 97303","(Privacy Booth Available)","Monday-Friday 9am-6pm; Until 8pm on Election Day",,,,,44.998771,-123.02604,,,
,"701 Adams Street, Fossil, OR 97830-0327",,"Monday-Friday 8:30am-12pm & 1pm-4pm; Until 8pm on Election Day","Ballot Drop Box","Monday-Friday 8:30am-12pm & 1pm-4pm; Until 8pm on Election Day",,,44.9994705,-120.2162188,,,
,"306 S. Water St., Silverton, OR 97381",Lobby,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,45.0038368,-122.7821703,,,
,"635 Third Street, North Powder, OR 97867",,"Monday-Thursday 8:30am-12:30pm; Until 8pm on Election Day",,,,,45.029794,-117.9196941,,,
,"290 E. Charles St., Mt. Angel, OR 97362",,"Tuesday 12pm-6:30pm; Wednesday 11am-5pm; Thursday & Friday 12pm-5pm; Saturday 1pm-5pm; Until 8pm on Election Day",,,,,45.067999,-122.797741,,,
,"411 NE C Street, Willamina, OR 97396-2750","Ballot Drop Box","Until 8pm on Election Day",,,,,45.079782,-123.485455,1,,
,"120 SW Mill St., Sheridan, OR 97378-1832","Ballot Drop Box","Until 8pm on Election Day",Lobby,"Monday-Friday 8:30am-5pm; Election Day 7am-8pm",,,45.096734,-123.396016,1,,
,"524 4th Street, Gervais, OR 97026",,"Monday-Friday 8am-1pm & 2pm-5pm; Until 8pm on Election Day",,,,,45.1083389,-122.8980765,,,
,"307 S Trade St., Amity, OR 97101","Ballot Drop Box","Until 8pm on Election Day",,,,,45.1174574,-123.2062032,1,,
,"270 Montgomery Street, Woodburn, OR 97071","Lobby  (Privacy Booths Available)","Monday-Friday 8am-5:30pm; Until 8pm on Election Day",,,,,45.1420977,-122.8585832,,,
,"201 E. 5th Street, Molalla, OR 97038-8127","Inside library","Monday-Thursday, 10am-8pm; Friday-Saturday, 10am-5pm; Sunday CLOSED",,,,,45.1437844,-122.5775776,,"-'' on 2011-05-10T00:56:51-0600 by 67.51.72.14",
,"Deschutes Avenue, Maupin, OR 97037","City Hall","Monday-Friday 9am-4pm; Election Day 9am-8pm",,,,,45.175555,-121.0801523,,,
,"3720 2nd Street, Hubbard, OR 97032",Lobby,"Monday-Friday 8am-12pm & 1pm-5pm; Until 8pm on Election Day",,,,,45.182621,-122.80493,,,
,"34600 Cape Kiwanda Dr., Pacific City, OR 97135",,"Friday & Monday prior-Election Day 9am-4:30pm; Election Day 9am-8pm",,,,,45.20482,-123.967167,,,
,"34370 Hwy 101 S, Cloverdale, OR 97112",,"Until 8pm on Election Day",,,,,45.206925,-123.889265,1,,
,"342 S. Main Street, Union, OR 97883","Outside Ballot Drop Box","Until 8pm on Election Day",,,,,45.20738,-117.865807,1,,
,"414 NE Evans St, McMinnville, OR 97128","Stern Building - one block south of the courthouse","Monday-Friday 9am-5pm; Election Day 7am-8pm",,,,,45.210956,-123.194093,,,
,"20259 Main St. NE, St. Paul, OR 97137",,"Monday-Thursday 12pm-5pm; Friday 12pm-6pm; Until 8pm on Election Day",,,,,45.211068,-122.976946,,,
,"535 NE 5th St., McMinnville, OR 97128-4593","Ballot Drop Box - East end of County Jail parking lot","Until 8pm on Election Day",,,,,45.2115339,-123.1936707,1,,
,"416 Ferry Street, Dayton, OR 97114-9774","Ballot Drop Box","Until 8pm on Election Day",,,,,45.2200802,-123.0768592,1,,
,"10710 Main St. NE, Donald, OR 97020",,"Monday-Friday 8am-4pm; Until 8pm on Election Day",,,,,45.222738,-122.841349,,,
,"221 S. Oregon Street, Condon, OR 97823","Ballot Drop Box","Until 8pm on Election Day",,,,,45.2351278,-120.1858799,1,,
,"468 3rd Street, Lafayette, OR 97127-9800","Ballot Drop Box","Until 8pm on Election Day",,,,,45.243699,-123.1130815,1,,
,"706 SW 1st Ave, Canby, OR 97013","Outdoor drop box","Until 8pm on Election Day",,,,,45.259543,-122.6990043,1,,
,"182 N. Holly Street, Canby, OR 97013","Ballot Drop Box","Until 8pm on Election Day",,,,,45.26305,-122.693949,1,,
,"620 SW 5th Street, Dundee, OR 97115-9642","Ballot Drop Box","Until 8pm on Election Day",,,,,45.2815487,-123.013858,1,,
,"475 SE Main St., Estacada, OR 97023","Ballot Drop Box","Until 8pm on Election Day",,,,,45.2859704,-122.3340676,1,,
,"191 East Main St., Carlton, OR 97111","Ballot Drop Box","Until 8pm on Election Day",,,,,45.294377,-123.175868,1,,
,"825 NW Wade St., Estacada, OR 97023","Inside library","Monday-Thursday 9am-8pm; Friday-Sunday 10am-5pm",,,,,45.296735,-122.33888,,,
,"401 E 3rd St, Newberg, OR 97132","Ballot Drop Box (lot by Thrift Store - enter from Howard Street)","Until 8pm on Election Day",,,,,45.2988062,-122.97528,1,,
,"504 Alder St., Cove, OR 97824","Drive by Ballot Drop Box","Until 8pm on Election Day",,,,,45.300891,-117.813166,1,,
,"8200 S. W. Wilsonville Road, Wilsonville, OR 97070","Inside library","Monday-Thursday 10am-8pm; Friday-Saturday 10am-6pm; Sunday 1pm-6pm",,,,,45.302531,-122.7613,,"-'Sweetsite!' on 2011-05-10T08:35:00-0600 by 68.166.181.106",
,"1802 Haworth Ave., Newberg, OR 97132-1212","Ballot Drop Box","Until 8pm on Election Day",,,,,45.307195,-122.960848,1,,
,"1001 4th Street, La Grande, OR 97850-2100","Drive by Ballot Drop Box","Until 8pm on Election Day","Ballot Drop Inside","Monday-Thursday 8:30am-5pm; Friday 9am-4pm; Until 8pm on Election Day",,,45.3203524,-118.0965162,1,,
,"1000 Adams, La Grande, OR 97850-2604",,"Monday-Friday 8am-5pm; Until 8pm on Election Day",,,,,45.32929,-118.096064,,,
,"1710 Red Soils Ct., Oregon City, OR 97045","Outdoor Ballot Drop Box on-site","Until 8pm on Election Day","Inside office - Counter drop slot","Monday-Friday 8:30-5pm; Open Election Day 7am-8pm",,,45.332033,-122.595995,1,,
,"10605 Island Ave., Island City, OR 97850",,"Monday-Friday 9am-1pm; Until 8pm on Election Day",,,,,45.3405388,-118.0522819,,,
,"205 S Maple St., Yamhill, OR 97148","Ballot Drop Box","Until 8pm on Election Day",,,,,45.340601,-123.187734,1,,
,"68256 E. Hwy 26, Welches, OR 97067-9752","Inside library","Monday-Wednesday 12noon-8pm; Thursday-Saturday, 10am-5pm; Sunday CLOSED",,,,,45.3481,-121.96306,,,
,"100 S Court St, Heppner, OR 97836-7303","Outside drop box","Until 8pm on Election Day- ","County Clerk's Office - Room 102","Monday-Friday 8am-5pm; Election Day 7am-8pm",,,45.3534753,-119.5508423,1,,
,"201 N. Main St., Joseph, OR ",,"Monday-Friday 8am-4pm; 8pm Election Day",,,,,45.35352,-117.22996,,,
,"625 Center Street, Oregon City, OR 97045","Outdoor Ballot Drop Box on-site","Until 8pm on Election Day",,,,,45.356864,-122.606665,1,,
,"22560 SW Pine Street, Sherwood, OR 97140-8032","Ballot Drop Box","Until 8pm on Election Day",,,,,45.356873,-122.839801,1,,
,"22500 Salamo Rd., West Linn, OR 97068","Ballot Drop Box","Until 8pm on Election Day",,,,,45.3605716,-122.6468056,1,,
,"109 SW Mill Street, Grass Valley, OR 97029","White Ballot Drop Box located next to the city payment box","Until 8pm on Election Day",,,,,45.3607924,-120.7826129,1,,
,"1595 Burns St., West Linn, OR 97068","Inside library","Monday-Wednesday 11am-8pm; Thursday-Friday 10am-6pm; Saturday-Sunday 12pm-5pm",,,,,45.3668762,-122.6142882,,,
,"135 E. Dartmouth St., Gladstone, OR 97027","Inside library","Monday-Thursday 11am-9pm; Friday-Saturday 11am-5:30pm; Sunday CLOSED",,,,,45.3805238,-122.5937678,,,
,"18880 SW Martinazzi Avenue, Tualatin, OR 97062-7092","Ballot Drop Box","Until 8pm on Election Day",,,,,45.3838619,-122.7586433,1,,
,"39250 Pioneer Blvd., Sandy, OR 97055","Outdoor Ballot Drop Box on-site","Until 8pm on Election Day",,,,,45.3963687,-122.2588858,1,,
,"38980 Proctor Blvd., Sandy, OR 97055-8040","Inside library","Monday-Friday 10am-7pm; Saturday 10am-5pm; Sunday 1pm-5pm; Until 8pm on Election Day",,,,,45.3969499,-122.261937,,,
,"16201 S.E. McLoughlin Blvd, Oak Grove, OR 97267-4653","Outdoor Ballot Drop Box on-site","Until 8pm on Election Day","Ballot Drop Box outside & Ballot Drop Box inside during hours listed","Monday 10am-6pm; Tuesday-Thursday 12pm-8pm; Friday & Saturday 10am-6pm; Sunday 1pm-5pm",,,45.405661,-122.624908,1,,
,"15300 SW 116th Avenue, King City, OR 97224-2658","Ballot Drop Box","Until 8pm on Election Day",,,,,45.408977,-122.795087,1,,
,"19920 S.E. Highway 212, Damascus, OR 97089","Inside office","Monday-Friday 8am-5pm; Election Day 7am-8pm",,,,,45.417594,-122.4573727,,,
,"706 4th Street, Lake Oswego, OR 97034","Inside library","Monday-Thursday 10am-9pm; Friday-Saturday 10am-6pm; Sunday 1pm-6pm",,,,,45.4240316,-122.6672727,,,
,"101 S River Street, Enterprise, OR 97828","Ballot Drop Box on main floor by office--24 hour drive-thru on south side of courthouse","Until 8pm on Election Day","Ballot Drop inside Room 100","Monday-Friday 8am-5pm; Election day 7am-8pm",,,45.4250789,-117.276908,1,,
,"13125 SW Hall Blvd., Tigard, OR 97223-8144","Ballot Drop Box","Until 8pm on Election Day",,,,,45.4255103,-122.7657715,1,,
,"16000 SE Misty Drive, Happy Valley, OR 97086","Inside office","Monday-Friday 8am-5pm; Closed Saturday-Sunday; Open Election Day 8am-8pm",,,,,45.428981,-122.497612,,,
,"11750 S.E. 82nd Ave. Ste. D, Happy Valley, OR 97086","NE Corner Clackamas Town Center parking lot","Until 8pm on Election Day","Ballot Drop Box outside & Ballot Drop Box inside during hours listed","Monday 10am-6pm; Tuesday-Thursday 12pm-8pm; Friday & Saturday 10am-6pm; Sunday 1pm-5pm",,,45.4376252,-122.5687305,1,,
,"10660 S.E. 21st Ave., Milwaukie, OR 97222","Inside library","Monday-Thursday 10am-9pm; Friday-Saturday 10am-6pm; Sunday 12pm-6pm",,,,,45.446299,-122.640347,,,
,"365 West Hwy 74, Lexington, OR 97839","Outside drop site",,,,,,45.447313,-119.6872825,1,,
,"10723 SW Capitol Highway, Portland, OR 97219-6816","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.448005,-122.725625,,,
,"3rd and Laurel, Tillamook, OR 97141","Ballot Drop Box","Until 8pm on Election Day",,,,,45.4563191,-123.8420881,1,,
,"1716 3rd Street, Tillamook, OR 97141",,"Friday-Saturday prior to Election Day 9am-5:30pm; Monday prior to Election Day  9am-9pm; Election Day 9am-8pm",,,,,45.4564756,-123.8461983,,,
,"201 Laurel Ave., Tillamook, OR 97141","County Courthouse","Monday-Friday 8am-5pm; Election Day 7am-8pm",,,,,45.456845,-123.84157,,,
,"180 Ruckman, Imbler, OR 97841-8108","Drive by Ballot Drop Box","Until 8pm on Election Day",,,,,45.457605,-117.96301,1,,
,"7475 SW Oleson Road, Portland, OR 97223-7474","Inside facility","Normal Business Hours: Until 8pm on Election Day",,,,,45.467245,-122.753211,,,
,"7860 SE 13th Ave., Portland, OR 97202-6300","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.4677008,-122.6529684,,,
,"7365 SW Barbur Blvd., Portland, OR 97219","Ballot Drop Box at southwest corner of parking lot.  Enter off SW Terwilliger Blvd.","Open 24 Hours through 8 PM on Election Day",,,,,45.4711477,-122.6845752,1,,
,"6008 SE 49th Ave., Portland, OR 97206-6117","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.478859,-122.612093,,,
,"1525 SW Sunset Blvd., Portland, OR 97239-1937","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday-Tuesday 10am-8pm; Wednesday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.479802,-122.69447,,,
,"12375 SW 5th St., Beaverton, OR 97005-2883","Inside facility","Normal Business Hours: Until 8pm on Election Day",,,,,45.484028,-122.804072,,,
,"500 Court Street, Moro, OR 97039",,"Monday-Friday 8am-5pm; Election Day 7am-8pm",,,,,45.4865948,-120.7315369,,,
,"7905 SE Holgate Blvd., Portland, OR 97206-3367","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.49067,-122.582171,,,
,"3678 SW 78th Street, Portland, OR 97225-3010","Inside facility","Normal Business Hours: Until 8pm on Election Day",,,,,45.4932617,-122.7577192,,,
,"3700 SW Murray Blvd., Beaverton, OR 97005-2355","Ballot Drop Box located in front lobby","Until 8pm on Election Day","Ballot Drop Inside","Normal Business Hours; Until 8pm on Election Day",,,45.49335,-122.825587,1,,
,"385 NW Miller Ave., Gresham, OR 97030-7204","Ballot Drop Box/Also Ballot Drop Box inside library","Open 24 Hours through 8 PM on Election Day",,,,,45.50007,-122.433041,,,
,"280 West Main St., Ione, OR 97843","Inside Lobby","Monday-Friday 9am-4pm; Election Day 9am-8pm",,,,,45.5013501,-119.8258153,,,
,"775 SE 10th Avenue, Hillsboro, OR 97123-4784","Inside facility","Normal Business Hours: Until 8pm on Election Day",,,,,45.5143323,-122.9750416,,,
,"2114 Pacific Avenue (Pacific Ave. and Birch St.), Forest Grove, OR 97116-2446","Ballot Drop Box","Until 8pm on Election Day",,,,,45.5148895,-123.1084786,1,,
,"1038 SE 39th Ave., Portland, OR 97214-4318","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.5154447,-122.6229109,,,
,"805 SE 122nd Ave., Portland, OR 97233-1107","Ballot Drop Box/Also Ballot Drop Box inside library","Open 24 Hours through 8 PM on Election Day",,,,,45.5167027,-122.5377536,,,
,"1040 SE Morrison, Portland, OR 97214-2417","Ballot Drop Box and voting booths available inside office","Monday-Friday 8am-5pm; Monday before Election Day 8am-6pm; Election Day 7am-8pm","Accessible slot in north window for pedestrian ballot deposit","Open 24 Hours through 8 PM on Election Day",,,45.51718,-122.65524,,,
,"801 SW 10th Ave., Portland, OR 97205-2520","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 10am-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day","Drive-up book drop located on the east side of SW 11th between Yamhill and Taylor","Open 24 Hours through 8 PM on Election Day",,,45.519098,-122.682899,,"-'' on 2011-05-10T00:55:01-0600 by 67.51.72.14",
,"17917 SE Stark St., Portland, OR 97233-4825","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.5191495,-122.4610926,,,
,"700 Block of SW Broadway, Portland, OR 97205","Ballot Drop Boxes at location of former Voter Express Booth","Open 24 Hours through 8 PM on Election Day",,,,,45.5193409,-122.6796174,1,"-'null' on 2011-05-09T21:32:48-0600 by 67.51.72.14",
,"1355 N Barlow Street, Cornelius, OR 97113","Ballot Drop Box","Until 8pm on Election Day",,,,,45.5217585,-123.0558099,1,,
,"155 N. 1st Avenue, Hillsboro, OR 97124-3084","Ballot Drop Box","Until 8pm on Election Day",,,,,45.5232811,-122.9896631,1,,
,"5525 B Street, Bay City, OR 97107","Ballot drop box","Until 8pm on Election Day",,,,,45.524383,-123.890658,1,,
,"12505 NW Cornell Rd., Portland, OR 97229-5688","Inside facility","Normal Business Hours: Until 8pm on Election Day",,,,,45.526162,-122.8054404,,,
,"2451 SW Cherry Park Rd, Troutdale, OR 97060-2933","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.5277123,-122.4127001,,,
,"1520 NE Village St., Fairview, OR 97024-3826","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.5322375,-122.4393512,,,
,"2300 NW Thurman St., Portland, OR 97210-2521","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.5354163,-122.6989485,,"-'Testing' on 2011-05-09T20:36:22-0600 by 67.51.72.14",
,"4040 NE Tillamook St., Portland, OR 97212-5340","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday-Tuesday 10am-8pm; Wednesday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.536836,-122.621584,,,
,"2010 NE 39th Ave, Portland, OR 97212","Ballot Drop Box between NE Tillamook and NE Hancock","Open 24 Hours through 8 PM on Election Day",,,,,45.5372147,-122.622949,1,,
,"2850 NE Brookwood Pkwy, Hillsboro, OR 97124-7077","Ballot Drop Box","Until 8pm on Election Day",,,,,45.5427231,-122.9361835,1,,
,"3605 NE 15th Ave., Portland, OR 97212-2358","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.5491515,-122.6504195,,,
,"7921 NE Sandy Blvd., Portland, OR 97213-7150","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.551662,-122.581264,,,
,"107 6th St., Garibaldi, OR 97118","Ballot Drop Box","Until 8pm on Election Day",,,,,45.5592695,-123.9139869,1,,
,"512 N Killingsworth St., Portland, OR 97217-2330","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.562454,-122.671507,,,
,"180 N 8th St, Elgin, OR 97827",,"Monday-Thursday 10am-5pm; Until 8pm on Election Day",,,,,45.5708752,-117.917387,,,
,"211 E. 2nd St., Wallowa, OR ",,"Monday-Thursday 8:30pm-4:30pm:Friday 8:30-4pm; 8pm Election Day",,,,,45.5710455,-117.5271011,,,
,"3134 North Lombard Street, Portland, OR 97217","Ballot Drop Box at north end of one-way lane for Goodwill donations. Enter off North Knowles Avenue","Open 24 Hours through 8 PM on Election Day",,,,,45.57681,-122.698865,1,,
,"8226 N Denver Ave., Portland, OR 97217-6624","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.582813,-122.686719,,,
,"7510 N. Charleston Ave., Portland, OR 97203-3709","Ballot Drop Box inside library","Sunday 12pm-5pm; Monday 10am-6pm; Tuesday-Wednesday 12pm-8pm; Thursday-Saturday 10am-6pm; Until 8pm on Election Day",,,,,45.589982,-122.751052,,,
,"1017 Clark Street, Wasco, OR 97065","White Ballot Drop Box located in the parking strip just east of the Fulton Street stop sign next to city hall","Until 8pm on Election Day",,,,,45.5926491,-120.6977179,1,,
,"31360 NW Commercial, North Plains, OR 97133","Ballot Drop Box","Until 8pm on Election Day",,,,,45.597282,-122.999332,1,,
,"511 Washington St., The Dalles, OR 97058-2237","Ballot Drop Box","Until 8pm on Election Day","County Courthouse, Suite 201","Monday-Friday 9am-12pm; 1pm-4pm; Election Day 7am-8pm",,,45.599708,-121.1834859,1,,
,"276 Hwy 101 S., Rockaway Beach, OR 97136","Ballot Drop Box","Until 8pm on Election Day",,,,,45.610021,-123.944162,1,,
,"111 Market Street, Banks, OR 97106-9019","Ballot Drop Box","Until 8pm on Election Day",,,,,45.6196913,-123.1142586,1,,
,"140 WaNaPa Street, Cascade Locks, OR 97014","City Hall","Monday-Friday 8am-5pm; 8am- 8pm on Election Day",,,,,45.66971,-121.88947,,,
,"46411 Ti'Mine Way, Pendleton, OR 97801",,"Monday-Friday 7:30am-4:30pm; Election Day until 8pm",,,,,45.672075,-118.7885967,,,
,"SE Dorion and SE 5th St., Pendleton, OR 97801","Ballot Drop Box at the corner of SE Dorion Ave and SE 5th St.","Until 8pm on Election Day",,,,,45.6730913,-118.7822024,1,,
,"216 SE 4th St., Pendleton, OR 97801-2509","Courthouse Room 18","Monday-Friday 8am-5pm; Election Day 7am-8pm",,,,,45.6736504,-118.7836203,,,
,"400 Main Street, Rufus, OR 97039","White Ballot Drop Box","Until 8pm on Election Day",,,,,45.6936892,-120.7359398,1,,
,"601 State St., Hood River, OR 97031-1871","Ballot Drop Box","Until 8pm on Election Day","Records and Elections Office","Monday-Friday 8am-5pm; 7am until 8pm on Election Day",,,45.707816,-121.516842,1,,
,"Locust and 1st Street, Arlington, OR 97812","Ballot Drop Box","Until 8pm on Election Day",,,,,45.71772,-120.2038515,1,,
,"543 Laneda Avenue, Manzanita, OR 97130",,"Until 8pm on Election Day",,,,,45.71934,-123.932405,1,,
,"33568 E Columbia Ave., Scappoose, OR 97056","Monday-Friday 8am to 5pm; Election Day 8am - 8pm","Monday-Friday 8am-5pm; Election Day 8am-8pm",,,,,45.7576722,-122.8760747,,,
,"200 City Center Circle, Boardman, OR 97816",,"Monday-Friday 8am-5pm; Election Day 8am-8pm",,,,,45.8326689,-119.7020847,,,
,"180 NE 2nd St, Hermiston, OR 97838","Drive by Ballot Drop Box","Until 8pm on Election Day",,,,,45.8412436,-119.288717,1,,
,"701 Weed Ave, Vernonia, OR 97064",,"Monday, Wednesday & Friday 10am-5pm; Tuesday & Thursday 2pm-7pm; Saturday 10am-2pm; Until 8pm on Election Day",,,,,45.8615291,-123.1961371,,,
,"230 Strand St., St. Helens, OR 97051","Ballot Drop Box lower parking lot","Until 8pm on Election Day","Ballot Drop Box lower parking lot and Drop box inside Elections office","Monday-Friday 8:30am-5pm; Election Day until 8pm",,,45.8631248,-122.7970263,1,,
,"163 E. Gower, Cannon Beach, OR ",,"Normal Business Hours; Until 8pm on election day",,,,,45.890257,-123.960523,,,
,"205 NE 3rd Street, Irrigon, OR 97839","Outside drop site","Until 8pm on Election Day",,,,,45.8921587,-119.4985153,1,,
,"722 S. Main, Milton Freewater, OR 97862-1430","Drive by Ballot Drop Box","Until 8pm on Election Day",,,,,45.9287158,-118.3852936,1,,
,"989 Broadway, Seaside, OR 97138-7826",,"Normal Business Hours; Until 8pm on Election Day",,,,,45.9928249,-123.9203142,,,
,"698 Pacific Way, Gearhart, OR 97138",,"Monday-Friday 8am-noon & 1pm-5pm; Election Day until 8pm.",,,,,46.021277,-123.91024,,,
,"12525 Highway 202, Mist, OR 97016","Official Columbia County drop site/Shared with Clatsop County","Monday-Friday 8am-4pm; Election Day until 8pm",,,,,46.0223411,-123.6259101,,,
,"106 'B' Street West, Rainier, OR 97048",,"Daily 8am-5pm; Until 8pm on Election Day",,,,,46.0891212,-122.9360113,,,
,"11 Lillich Street, Clatskanie, OR 97016","Official Columbia County drop site/Shared with Clatsop County","Monday-Wednesday 10am-7pm; Thursday-Saturday 10am-5:30pm; Election Day 10am-8pm","Official Columbia County drop site/Shared with Clatsop County","Monday-Friday Regular Library Hours; Election Day 12pm-8pm",,,46.1054945,-123.2021665,,"-'Hours data is inconsistent' on 2011-05-09T20:25:13-0600 by 67.51.72.14",
,"225 S Main Ave, Warrenton, OR 97146",,"Monday-Friday 8:30am-5pm; Election Day 8:30am-8pm",,,,,46.163415,-123.9257022,,,
,"41535 Old Highway 30, Knappa, OR ",,"Monday-Friday 8am-3pm; Election day until 8pm",,,,,46.1698812,-123.5862855,,,
,"820 Exchange Street, Astoria, OR 97103","Ballot Drop Slot - front of building, right of the front door","Until 8pm on Election Day","Public Services Building 820","Monday-Friday 8:30am-5pm; Election Day 7am-8pm",,,46.1877277,-123.8345451,1,,
